"Peel","Year","metric","value"
2,2001,"SSB",10906.24
2,2002,"SSB",12803.8
2,2003,"SSB",13223.95
2,2004,"SSB",11835.74
2,2005,"SSB",10085.83
2,2006,"SSB",10159.75
2,2007,"SSB",12879.93
2,2008,"SSB",13820.98
2,2009,"SSB",13737.87
2,2010,"SSB",17808.37
2,2011,"SSB",21545.42
2,2012,"SSB",22562.12
2,2013,"SSB",23305.68
2,2014,"SSB",22821.08
2,2015,"SSB",21766.91
2,2016,"SSB",25827.63
2,1963,"F",0.2091908
2,1964,"F",0.2149839
2,1965,"F",0.2023277
2,1966,"F",0.1470738
2,1967,"F",0.1151412
2,1968,"F",0.1111271
2,1969,"F",0.09956375
2,1970,"F",0.1175345
2,1971,"F",0.1338759
2,1972,"F",0.1295768
2,1973,"F",0.1228345
2,1974,"F",0.1368026
2,1975,"F",0.1248033
2,1976,"F",0.1339032
2,1977,"F",0.1719372
2,1978,"F",0.172932
2,1979,"F",0.1567618
2,1980,"F",0.1841905
2,1981,"F",0.24194
2,1982,"F",0.2992463
2,1983,"F",0.3129314
2,1984,"F",0.3759733
2,1985,"F",0.4579752
2,1986,"F",0.5038611
2,1987,"F",0.5954913
2,1988,"F",0.6092786
2,1989,"F",0.5936863
2,1990,"F",0.6237211
2,1991,"F",0.5628278
2,1992,"F",0.8723321
2,1993,"F",1.046395
2,1994,"F",0.7267965
2,1995,"F",0.688971
2,1996,"F",0.5321814
2,1997,"F",0.355219
2,1998,"F",0.3245718
2,1999,"F",0.4611663
2,2000,"F",0.4280642
2,2001,"F",0.4394292
2,2002,"F",0.3307193
2,2003,"F",0.441583
2,2004,"F",0.3525319
2,2005,"F",0.330962
2,2006,"F",0.2105132
2,2007,"F",0.1380566
2,2008,"F",0.1344378
2,2009,"F",0.1612552
2,2010,"F",0.1274222
2,2011,"F",0.1628316
2,2012,"F",0.1490075
2,2013,"F",0.1128973
2,2014,"F",0.09872945
2,2015,"F",0.08414098
2,2016,"F",0.05718866
3,1963,"SSB",22381.34
3,1964,"SSB",21691.21
3,1965,"SSB",20804.91
3,1966,"SSB",20284.34
3,1967,"SSB",20822.58
3,1968,"SSB",22240.87
3,1969,"SSB",24139.49
3,1970,"SSB",26484.61
3,1971,"SSB",28644.06
3,1972,"SSB",30636.86
3,1973,"SSB",33454.05
3,1974,"SSB",36151.15
3,1975,"SSB",37536.45
3,1976,"SSB",38403.77
3,1977,"SSB",38045.43
3,1978,"SSB",36800.69
3,1979,"SSB",35934.7
3,1980,"SSB",35031.22
3,1981,"SSB",33191.16
3,1982,"SSB",30094
3,1983,"SSB",26689.69
3,1984,"SSB",23777.75
3,1985,"SSB",20466.63
3,1986,"SSB",17019.72
3,1987,"SSB",15088.23
3,1988,"SSB",14149.4
3,1989,"SSB",13230.3
3,1990,"SSB",13489.52
3,1991,"SSB",13555.05
3,1992,"SSB",14383.31
3,1993,"SSB",12274.1
3,1994,"SSB",9545.664
3,1995,"SSB",8499.306
3,1996,"SSB",8374.727
3,1997,"SSB",8306.801
3,1998,"SSB",9590.565
3,1999,"SSB",9805.365
3,2000,"SSB",9645.516
3,2001,"SSB",10993.01
3,2002,"SSB",12946.35
3,2003,"SSB",13425.02
3,2004,"SSB",12091.36
3,2005,"SSB",10379.56
3,2006,"SSB",10532.66
3,2007,"SSB",13440.59
3,2008,"SSB",14491.56
3,2009,"SSB",14487.61
3,2010,"SSB",18906.26
3,2011,"SSB",23016.09
3,2012,"SSB",24275
3,2013,"SSB",25149.34
3,2014,"SSB",24581.04
3,2015,"SSB",23313.84
3,1963,"F",0.220622
3,1964,"F",0.2218867
3,1965,"F",0.2082269
3,1966,"F",0.1508503
3,1967,"F",0.1176222
3,1968,"F",0.1130877
3,1969,"F",0.1010302
3,1970,"F",0.1190134
3,1971,"F",0.1353596
3,1972,"F",0.1308445
3,1973,"F",0.1238733
3,1974,"F",0.1379161
3,1975,"F",0.1256884
3,1976,"F",0.1347565
3,1977,"F",0.1731424
3,1978,"F",0.1741145
3,1979,"F",0.157705
3,1980,"F",0.185432
3,1981,"F",0.2437275
3,1982,"F",0.3013836
3,1983,"F",0.3150936
3,1984,"F",0.3790098
3,1985,"F",0.462113
3,1986,"F",0.5089875
3,1987,"F",0.6030388
3,1988,"F",0.6193248
3,1989,"F",0.6013937
3,1990,"F",0.6314531
