"Scenario","Case","RampLab","ChangeYear","Metric","SSB","F"
"Mmult Old Sudden 2005","Mmult Old","Sudden","2005","Ratio",0.431593721269323,0.931091148407713
"Mmult Old Sudden 2010","Mmult Old","Sudden","2010","Ratio",0.43574162797181,0.947517358223717
"Mmult Old Sudden 2015","Mmult Old","Sudden","2015","Ratio",0.361812267077713,1.23774764564637
"Mmult Old Ramp4 2000","Mmult Old","Ramp4","2000","Ratio",0.443969498974887,0.871771177954646
"Mmult Old Ramp4 2005","Mmult Old","Ramp4","2005","Ratio",0.439217513613162,0.904728071749801
"Mmult Old Ramp4 2010","Mmult Old","Ramp4","2010","Ratio",0.429808534739044,0.947425666879821
"Mmult Old Ramp4 2015","Mmult Old","Ramp4","2015","Ratio",0.410148910201609,1.03926365170717
"Mmult Old Ramp9 2000","Mmult Old","Ramp9","2000","Ratio",0.450556495433308,0.844855064552032
"Mmult Old Ramp9 2005","Mmult Old","Ramp9","2005","Ratio",0.448723185722047,0.874228837753235
"Mmult Old Ramp9 2010","Mmult Old","Ramp9","2010","Ratio",0.435086089356421,0.924470649662616
"Mmult Old Ramp9 2015","Mmult Old","Ramp9","2015","Ratio",0.422271885193656,0.98270144466736
"Mmult Young Sudden 2000","Mmult Young","Sudden","2000","Ratio",0.190996199243621,1.46335068016376
"Mmult Young Sudden 2005","Mmult Young","Sudden","2005","Ratio",0.236479670197853,1.33288278718878
"Mmult Young Sudden 2010","Mmult Young","Sudden","2010","Ratio",0.189783579364064,1.62990225901706
"Mmult Young Ramp4 2000","Mmult Young","Ramp4","2000","Ratio",0.164032522622102,1.5059531706706
"Mmult Young Ramp4 2005","Mmult Young","Ramp4","2005","Ratio",0.227819757149621,1.39259361639085
"Mmult Young Ramp4 2010","Mmult Young","Ramp4","2010","Ratio",0.210526242190828,1.38387843504399
"Mmult Young Ramp9 2000","Mmult Young","Ramp9","2000","Ratio",0.146122323638446,1.44022826355069
"Mmult Young Ramp9 2005","Mmult Young","Ramp9","2005","Ratio",0.202035242857829,1.42645950408555
"Mmult Young Ramp9 2010","Mmult Young","Ramp9","2010","Ratio",0.218698880542272,1.38712662196257
"Mmult Young Ramp9 2015","Mmult Young","Ramp9","2015","Ratio",0.215636664352601,1.41127338596925
"Rose","Rose","Many","Many","Ratio",0.367542356000892,1.42126816320883
"Rose","Rose","Many","Many","Target",32608.3393819849,0.223175274248744
"Rose","Rose","Many","Many","Terminal",11622.9392608696,0.316471865217391
