scenario,change.year,ramp,cmult,mmult,mselxlab,imult,ssbrho
Ramp4 Mmults,2000,4,1,3,All Ages,1,-0.345857874
Ramp4 Mmults,2000,4,1,3.5,All Ages,1,-0.436527507
Ramp4 Mmults,2000,4,1,4,All Ages,1,-0.502948947
Ramp4 Mmults,2000,4,1,4.5,All Ages,1,-0.553909407
Ramp4 Mmults,2000,4,1,5,All Ages,1,-0.594168973
Ramp4 Mmults,2005,4,1,1.5,All Ages,1,0.055535963
Ramp4 Mmults,2005,4,1,2,All Ages,1,-0.133372251
Ramp4 Mmults,2005,4,1,2.5,All Ages,1,-0.300492365
Ramp4 Mmults,2005,4,1,3,All Ages,1,-0.4284889
Ramp4 Mmults,2005,4,1,3.5,All Ages,1,-0.521646281
Ramp4 Mmults,2005,4,1,4,All Ages,1,-0.584680333
Ramp4 Mmults,2005,4,1,4.5,All Ages,1,-0.630458649
Ramp4 Mmults,2005,4,1,5,All Ages,1,-0.66547257
Ramp4 Mmults,2010,4,1,1.5,All Ages,1,0.053624838
Ramp4 Mmults,2010,4,1,2,All Ages,1,-0.135970155
Ramp4 Mmults,2010,4,1,2.5,All Ages,1,-0.313835586
Ramp4 Mmults,2010,4,1,3,All Ages,1,-0.459691396
Ramp4 Mmults,2010,4,1,3.5,All Ages,1,-0.565650219
Ramp4 Mmults,2010,4,1,4,All Ages,1,-0.638113147
Ramp4 Mmults,2010,4,1,4.5,All Ages,1,-0.687571365
Ramp4 Mmults,2010,4,1,5,All Ages,1,-0.945958217
Ramp4 Mmults,2015,4,1,1.5,All Ages,1,0.114881824
Ramp4 Mmults,2015,4,1,2,All Ages,1,-0.002630471
Ramp4 Mmults,2015,4,1,2.5,All Ages,1,-0.114874996
Ramp4 Mmults,2015,4,1,3,All Ages,1,-0.224099776
Ramp4 Mmults,2015,4,1,3.5,All Ages,1,-0.329295399
Ramp4 Mmults,2015,4,1,4,All Ages,1,-0.426916369
Ramp4 Mmults,2015,4,1,4.5,All Ages,1,-0.513304146
Ramp4 Mmults,2015,4,1,5,All Ages,1,-0.585954338
Ramp4 Mmults,2000,4,1,1.6,All Ages,1,0.042282306
Ramp4 Mmults,2000,4,1,1.7,All Ages,1,0.011206978
Ramp4 Mmults,2000,4,1,1.8,All Ages,1,-0.019719671
Ramp4 Mmults,2000,4,1,1.9,All Ages,1,-0.050363207
Ramp4 Mmults,2005,4,1,1.6,All Ages,1,0.017365198
Ramp4 Mmults,2005,4,1,1.7,All Ages,1,-0.020869644
Ramp4 Mmults,2005,4,1,1.8,All Ages,1,-0.058964242
Ramp4 Mmults,2005,4,1,1.9,All Ages,1,-0.096553332
Ramp4 Mmults,2010,4,1,1.6,All Ages,1,0.015671027
Ramp4 Mmults,2010,4,1,1.7,All Ages,1,-0.02235359
Ramp4 Mmults,2010,4,1,1.8,All Ages,1,-0.060380125
Ramp4 Mmults,2010,4,1,1.9,All Ages,1,-0.098300523
