"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho"
"Sudden Mmults",2000,0,1,2,"All Ages",1,0.182731699838656
"Sudden Mmults",2000,0,1,3,"All Ages",1,-0.048145739832369
"Sudden Mmults",2000,0,1,4,"All Ages",1,-0.19553212879149
"Sudden Mmults",2000,0,1,5,"All Ages",1,-0.298792352951767
"Sudden Mmults",2000,0,1,6,"All Ages",1,-0.378143740379169
"Sudden Mmults",2000,0,1,7,"All Ages",1,-0.439514671460441
"Sudden Mmults",2000,0,1,8,"All Ages",1,-0.48909851440003
"Sudden Mmults",2000,0,1,9,"All Ages",1,-0.579675319416989
"Sudden Mmults",2000,0,1,10,"All Ages",1,-0.60034265143703
"Sudden Mmults",2005,0,1,2,"All Ages",1,0.10910728742889
"Sudden Mmults",2005,0,1,3,"All Ages",1,-0.155809454375768
"Sudden Mmults",2005,0,1,4,"All Ages",1,-0.325912286418467
"Sudden Mmults",2005,0,1,5,"All Ages",1,-0.445341936108288
"Sudden Mmults",2005,0,1,6,"All Ages",1,-0.529329616080129
"Sudden Mmults",2005,0,1,7,"All Ages",1,-0.59067990384021
"Sudden Mmults",2005,0,1,8,"All Ages",1,-0.637825286105615
"Sudden Mmults",2005,0,1,9,"All Ages",1,-0.675153523416028
"Sudden Mmults",2005,0,1,10,"All Ages",1,-0.705910573892748
"Sudden Mmults",2010,0,1,2,"All Ages",1,0.224191905962686
"Sudden Mmults",2010,0,1,3,"All Ages",1,-0.0303092062626287
"Sudden Mmults",2010,0,1,4,"All Ages",1,-0.228477471703715
"Sudden Mmults",2010,0,1,5,"All Ages",1,-0.383334089178148
"Sudden Mmults",2010,0,1,6,"All Ages",1,-0.503804178263933
"Sudden Mmults",2010,0,1,7,"All Ages",1,-0.597152876241485
"Sudden Mmults",2010,0,1,8,"All Ages",1,-0.669756994804731
"Sudden Mmults",2010,0,1,9,"All Ages",1,-0.727268879188452
"Sudden Mmults",2010,0,1,10,"All Ages",1,-0.774181064657121
"Sudden Mmults",1995,0,1,3.2,"All Ages",1,0.030423791687101
"Sudden Mmults",1995,0,1,3.3,"All Ages",1,0.015956046506853
"Sudden Mmults",1995,0,1,3.4,"All Ages",1,0.00215516041103436
"Sudden Mmults",1995,0,1,3.5,"All Ages",1,-0.0111046079903546
"Sudden Mmults",1995,0,1,3.6,"All Ages",1,-0.0237515449891649
"Sudden Mmults",2000,0,1,2.5,"All Ages",1,0.0539759799344728
"Sudden Mmults",2000,0,1,2.6,"All Ages",1,0.0316588263049819
"Sudden Mmults",2000,0,1,2.7,"All Ages",1,0.0103401799796991
"Sudden Mmults",2000,0,1,2.8,"All Ages",1,-0.0100338448526398
"Sudden Mmults",2000,0,1,2.9,"All Ages",1,-0.0295139053617251
"Sudden Mmults",2005,0,1,2.2,"All Ages",1,0.0450795460413421
"Sudden Mmults",2005,0,1,2.3,"All Ages",1,0.015440728062783
"Sudden Mmults",2005,0,1,2.4,"All Ages",1,-0.0127361638551434
"Sudden Mmults",2005,0,1,2.5,"All Ages",1,-0.0395404883782196
"Sudden Mmults",2005,0,1,2.6,"All Ages",1,-0.0650575665777863
"Sudden Mmults",2010,0,1,2.6,"All Ages",1,0.0637938697232048
"Sudden Mmults",2010,0,1,2.7,"All Ages",1,0.0393735397259616
"Sudden Mmults",2010,0,1,2.8,"All Ages",1,0.0155611778736999
"Sudden Mmults",2010,0,1,2.9,"All Ages",1,-0.00766088371739841
"Ramp4 Mmults",1995,4,1,2,"All Ages",1,0.285746164165747
"Ramp4 Mmults",1995,4,1,3,"All Ages",1,0.100754742121479
"Ramp4 Mmults",1995,4,1,4,"All Ages",1,-0.0289397717784383
"Ramp4 Mmults",1995,4,1,5,"All Ages",1,-0.13282625025572
"Ramp4 Mmults",1995,4,1,6,"All Ages",1,-0.220757473855598
"Ramp4 Mmults",1995,4,1,7,"All Ages",1,-0.216399768906658
"Ramp4 Mmults",1995,4,1,8,"All Ages",1,-0.235139090540818
"Ramp4 Mmults",1995,4,1,9,"All Ages",1,-0.269320970283342
"Ramp4 Mmults",1995,4,1,10,"All Ages",1,-0.30370607283736
"Ramp4 Mmults",2000,4,1,2,"All Ages",1,0.213226254132271
"Ramp4 Mmults",2000,4,1,3,"All Ages",1,-0.00462242292605653
"Ramp4 Mmults",2000,4,1,4,"All Ages",1,-0.1451387154623
"Ramp4 Mmults",2000,4,1,5,"All Ages",1,-0.248485623648392
"Ramp4 Mmults",2000,4,1,6,"All Ages",1,-0.327446866373579
"Ramp4 Mmults",2000,4,1,7,"All Ages",1,-0.388975681362184
"Ramp4 Mmults",2000,4,1,8,"All Ages",1,-0.621439000746802
"Ramp4 Mmults",2000,4,1,9,"All Ages",1,-0.490503352700383
"Ramp4 Mmults",2000,4,1,10,"All Ages",1,-0.523400518705974
"Ramp4 Mmults",2005,4,1,2,"All Ages",1,0.13498927418031
"Ramp4 Mmults",2005,4,1,3,"All Ages",1,-0.117333467766587
"Ramp4 Mmults",2005,4,1,4,"All Ages",1,-0.280787403578009
"Ramp4 Mmults",2005,4,1,5,"All Ages",1,-0.392949304795352
"Ramp4 Mmults",2005,4,1,6,"All Ages",1,-0.473132855546329
"Ramp4 Mmults",2005,4,1,7,"All Ages",1,-0.534308482297142
"Ramp4 Mmults",2005,4,1,8,"All Ages",1,-0.581892706778126
"Ramp4 Mmults",2005,4,1,9,"All Ages",1,64462.3555871853
"Ramp4 Mmults",2005,4,1,10,"All Ages",1,-0.6532773002153
"Ramp4 Mmults",2010,4,1,2,"All Ages",1,0.14766367453846
"Ramp4 Mmults",2010,4,1,3,"All Ages",1,-0.127828052478712
"Ramp4 Mmults",2010,4,1,4,"All Ages",1,-0.319714387812756
"Ramp4 Mmults",2010,4,1,5,"All Ages",1,-0.457220867214254
"Ramp4 Mmults",2010,4,1,6,"All Ages",1,-0.55904240390528
"Ramp4 Mmults",2010,4,1,7,"All Ages",1,-0.637424792253169
"Ramp4 Mmults",2010,4,1,8,"All Ages",1,-0.696283860912828
"Ramp4 Mmults",2010,4,1,9,"All Ages",1,-0.74075069631238
"Ramp4 Mmults",2010,4,1,10,"All Ages",1,-0.775401038922309
"Ramp4 Mmults",1995,4,1,3.6,"All Ages",1,0.0182396016047891
"Ramp4 Mmults",1995,4,1,3.7,"All Ages",1,0.00598185941768603
"Ramp4 Mmults",1995,4,1,3.8,"All Ages",1,-0.00595407887566347
"Ramp4 Mmults",1995,4,1,3.9,"All Ages",1,-0.0176320094672372
"Ramp4 Mmults",2000,4,1,2.8,"All Ages",1,0.0315868676652946
"Ramp4 Mmults",2000,4,1,2.9,"All Ages",1,0.0130846986230108
"Ramp4 Mmults",2005,4,1,2.2,"All Ages",1,0.0742493935942045
"Ramp4 Mmults",2005,4,1,2.3,"All Ages",1,0.0461047547982095
"Ramp4 Mmults",2005,4,1,2.4,"All Ages",1,0.0193218686718258
"Ramp4 Mmults",2005,4,1,2.5,"All Ages",1,-0.00618609429453429
"Ramp4 Mmults",2005,4,1,2.6,"All Ages",1,-0.0305012328212195
"Ramp4 Mmults",2010,4,1,2.2,"All Ages",1,0.0839314278761913
"Ramp4 Mmults",2010,4,1,2.3,"All Ages",1,0.0538577353448604
"Ramp4 Mmults",2010,4,1,2.4,"All Ages",1,0.0249080718050002
"Ramp4 Mmults",2010,4,1,2.5,"All Ages",1,-0.00296796316317346
"Ramp4 Mmults",2010,4,1,2.6,"All Ages",1,-0.0298178168318311
"Ramp9 Mmults",1995,9,1,2,"All Ages",1,0.320447199578302
"Ramp9 Mmults",1995,9,1,3,"All Ages",1,0.155019939713654
"Ramp9 Mmults",1995,9,1,4,"All Ages",1,0.0261224929583942
"Ramp9 Mmults",1995,9,1,5,"All Ages",1,-0.0774956397091977
"Ramp9 Mmults",1995,9,1,6,"All Ages",1,11272.4217286584
"Ramp9 Mmults",1995,9,1,7,"All Ages",1,-0.14828303785158
"Ramp9 Mmults",1995,9,1,8,"All Ages",1,-0.18389668384888
"Ramp9 Mmults",1995,9,1,9,"All Ages",1,-0.217312726619787
"Ramp9 Mmults",1995,9,1,10,"All Ages",1,-0.248952362023665
"Ramp9 Mmults",2000,9,1,2,"All Ages",1,0.248675427047462
"Ramp9 Mmults",2000,9,1,3,"All Ages",1,0.0459343379701723
"Ramp9 Mmults",2000,9,1,4,"All Ages",1,-0.0894244169670939
"Ramp9 Mmults",2000,9,1,5,"All Ages",1,-0.193436433363715
"Ramp9 Mmults",2000,9,1,6,"All Ages",1,-0.272779176295674
"Ramp9 Mmults",2000,9,1,7,"All Ages",1,-0.505964852726622
"Ramp9 Mmults",2000,9,1,8,"All Ages",1,-0.306175742465516
"Ramp9 Mmults",2000,9,1,9,"All Ages",1,-0.368707829165616
"Ramp9 Mmults",2000,9,1,10,"All Ages",1,-0.38051095167202
"Ramp9 Mmults",2005,9,1,2,"All Ages",1,0.173437387826875
"Ramp9 Mmults",2005,9,1,3,"All Ages",1,-0.063022361928453
"Ramp9 Mmults",2005,9,1,4,"All Ages",1,-0.217219620218814
"Ramp9 Mmults",2005,9,1,5,"All Ages",1,-0.323925146224564
"Ramp9 Mmults",2005,9,1,6,"All Ages",1,-0.406107571891406
"Ramp9 Mmults",2005,9,1,7,"All Ages",1,-0.46917424111749
"Ramp9 Mmults",2005,9,1,8,"All Ages",1,-0.519376701547697
"Ramp9 Mmults",2005,9,1,9,"All Ages",1,-0.634257261728637
"Ramp9 Mmults",2005,9,1,10,"All Ages",1,-0.594673049231076
"Ramp9 Mmults",2010,9,1,2,"All Ages",1,0.140404617384288
