"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho","absssbrho","Multiplier","case","ramplab","scenlab"
"Ramp4 Mmults",2015,4,1,2,"All Ages",1,-0.002630471,0.002630471,2,"Mmult All Ages","Ramp4","Mmult All Ages Ramp4"
"Ramp9 Mmults",2000,9,1,1.8,"All Ages",1,-0.007365206,0.007365206,1.8,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Ramp9 Mmults",2005,9,1,1.7,"All Ages",1,-0.005623246,0.005623246,1.7,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Ramp9 Mmults",2010,9,1,1.6,"All Ages",1,0.015962329,0.015962329,1.6,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Ramp9 Mmults",2015,9,1,1.8,"All Ages",1,-0.007179721,0.007179721,1.8,"Mmult All Ages","Ramp9","Mmult All Ages Ramp9"
"Old Sudden Mmults",2000,0,1,2.4,"Old",1,-0.00515267,0.00515267,2.4,"Mmult Old","Sudden","Mmult Old Sudden"
"Old Sudden Mmults",2005,0,1,2.3,"Old",1,4.76e-05,4.76e-05,2.3,"Mmult Old","Sudden","Mmult Old Sudden"
"Old Sudden Mmults",2010,0,1,2.3,"Old",1,0.003841934,0.003841934,2.3,"Mmult Old","Sudden","Mmult Old Sudden"
"Old Sudden Mmults",2015,0,1,4,"Old",1,-0.000900112,0.000900112,4,"Mmult Old","Sudden","Mmult Old Sudden"
"Old Ramp4 Mmults",2000,4,1,2.4,"Old",1,-0.002067572,0.002067572,2.4,"Mmult Old","Ramp4","Mmult Old Ramp4"
"Old Ramp4 Mmults",2005,4,1,2.3,"Old",1,0.002691638,0.002691638,2.3,"Mmult Old","Ramp4","Mmult Old Ramp4"
"Old Ramp4 Mmults",2010,4,1,2.3,"Old",1,-0.000344954,0.000344954,2.3,"Mmult Old","Ramp4","Mmult Old Ramp4"
"Old Ramp4 Mmults",2015,4,1,2.8,"Old",1,-0.002998194,0.002998194,2.8,"Mmult Old","Ramp4","Mmult Old Ramp4"
"Old Ramp9 Mmults",2000,9,1,2.4,"Old",1,-0.000430049,0.000430049,2.4,"Mmult Old","Ramp9","Mmult Old Ramp9"
"Old Ramp9 Mmults",2005,9,1,2.3,"Old",1,0.005002606,0.005002606,2.3,"Mmult Old","Ramp9","Mmult Old Ramp9"
"Old Ramp9 Mmults",2010,9,1,2.3,"Old",1,0.000333443,0.000333443,2.3,"Mmult Old","Ramp9","Mmult Old Ramp9"
"Old Ramp9 Mmults",2015,9,1,2.5,"Old",1,-0.002511824,0.002511824,2.5,"Mmult Old","Ramp9","Mmult Old Ramp9"
"Young Sudden Mmults",2000,0,1,3.1,"Young",1,0.004331702,0.004331702,3.1,"Mmult Young","Sudden","Mmult Young Sudden"
"Young Sudden Mmults",2005,0,1,3,"Young",1,0.008995993,0.008995993,3,"Mmult Young","Sudden","Mmult Young Sudden"
"Young Sudden Mmults",2010,0,1,4.7,"Young",1,0.004105428,0.004105428,4.7,"Mmult Young","Sudden","Mmult Young Sudden"
"Young Ramp4 Mmults",2000,4,1,3.3,"Young",1,-0.007746503,0.007746503,3.3,"Mmult Young","Ramp4","Mmult Young Ramp4"
"Young Ramp4 Mmults",2005,4,1,3,"Young",1,0.005469336,0.005469336,3,"Mmult Young","Ramp4","Mmult Young Ramp4"
"Young Ramp4 Mmults",2010,4,1,3.5,"Young",1,0.006017076,0.006017076,3.5,"Mmult Young","Ramp4","Mmult Young Ramp4"
"Young Ramp9 Mmults",2000,9,1,3.4,"Young",1,0.010183367,0.010183367,3.4,"Mmult Young","Ramp9","Mmult Young Ramp9"
"Young Ramp9 Mmults",2005,9,1,3.1,"Young",1,0.005570539,0.005570539,3.1,"Mmult Young","Ramp9","Mmult Young Ramp9"
"Young Ramp9 Mmults",2010,9,1,3.2,"Young",1,0.005156175,0.005156175,3.2,"Mmult Young","Ramp9","Mmult Young Ramp9"
"Young Ramp9 Mmults",2015,9,1,4.6,"Young",1,0.002712598,0.002712598,4.6,"Mmult Young","Ramp9","Mmult Young Ramp9"
