scenario,change.year,ramp,cmult,mmult,mselxlab,imult,ssbrho
Ramp4 Mmults,2005,4,1,0.27,All Ages,1,-0.002743672
Ramp4 Mmults,2005,4,1,0.28,All Ages,1,-0.006950053
Ramp4 Mmults,2010,4,1,0.31,All Ages,1,-0.000755872
Ramp4 Mmults,2010,4,1,0.32,All Ages,1,-0.005305048
Ramp4 Mmults,2010,4,1,0.33,All Ages,1,-0.009822619
Ramp4 Mmults,2015,4,1,0.05,All Ages,1,-0.008352292
Ramp4 Mmults,2015,4,1,0.06,All Ages,1,-0.011379278
Ramp4 Mmults,2015,4,1,0.07,All Ages,1,-0.01439515
Ramp4 Mmults,2015,4,1,0.08,All Ages,1,-0.017399838
Ramp4 Mmults,2015,4,1,0.09,All Ages,1,-0.020393153
Ramp9 Mmults,2000,9,1,0.1,All Ages,1,-0.013424342
Ramp9 Mmults,2000,9,1,0.2,All Ages,1,-0.044146042
Ramp9 Mmults,2000,9,1,0.3,All Ages,1,-0.073937382
Ramp9 Mmults,2000,9,1,0.4,All Ages,1,-0.102807703
Ramp9 Mmults,2000,9,1,0.5,All Ages,1,-0.130704456
Ramp9 Mmults,2000,9,1,0.6,All Ages,1,-0.157459778
Ramp9 Mmults,2000,9,1,0.7,All Ages,1,-0.183002693
Ramp9 Mmults,2000,9,1,0.8,All Ages,1,-0.207233268
Ramp9 Mmults,2000,9,1,0.9,All Ages,1,-0.230180276
Ramp9 Mmults,2005,9,1,0.1,All Ages,1,0.039907948
Ramp9 Mmults,2005,9,1,0.2,All Ages,1,0.000603651
Ramp9 Mmults,2005,9,1,0.3,All Ages,1,-0.037053918
Ramp9 Mmults,2005,9,1,0.4,All Ages,1,-0.073004097
Ramp9 Mmults,2005,9,1,0.5,All Ages,1,-0.10719772
Ramp9 Mmults,2005,9,1,0.6,All Ages,1,-0.139606841
Ramp9 Mmults,2005,9,1,0.7,All Ages,1,-0.170249226
Ramp9 Mmults,2005,9,1,0.8,All Ages,1,-0.199149571
Ramp9 Mmults,2005,9,1,0.9,All Ages,1,-0.226318253
Ramp9 Mmults,2010,9,1,0.1,All Ages,1,0.0890333
Ramp9 Mmults,2010,9,1,0.2,All Ages,1,0.040550489
Ramp9 Mmults,2010,9,1,0.3,All Ages,1,-0.004937328
Ramp9 Mmults,2010,9,1,0.4,All Ages,1,-0.047568154
Ramp9 Mmults,2010,9,1,0.5,All Ages,1,-0.087513032
Ramp9 Mmults,2010,9,1,0.6,All Ages,1,-0.124902492
Ramp9 Mmults,2010,9,1,0.7,All Ages,1,-0.159875223
Ramp9 Mmults,2010,9,1,0.8,All Ages,1,-0.192578925
Ramp9 Mmults,2010,9,1,0.9,All Ages,1,-0.223167726
Ramp9 Mmults,2015,9,1,0.1,All Ages,1,0.035023974
Ramp9 Mmults,2015,9,1,0.2,All Ages,1,-0.003970325
Ramp9 Mmults,2015,9,1,0.3,All Ages,1,-0.040919799
Ramp9 Mmults,2015,9,1,0.4,All Ages,1,-0.075942908
Ramp9 Mmults,2015,9,1,0.5,All Ages,1,-0.109155136
Ramp9 Mmults,2015,9,1,0.6,All Ages,1,-0.140667493
Ramp9 Mmults,2015,9,1,0.7,All Ages,1,-0.170587767
Ramp9 Mmults,2015,9,1,0.8,All Ages,1,-0.199018443
Ramp9 Mmults,2015,9,1,0.9,All Ages,1,-0.226057853
Ramp9 Mmults,2000,9,1,0.05,All Ages,1,0.002259634
Ramp9 Mmults,2000,9,1,0.06,All Ages,1,-0.000894674
Ramp9 Mmults,2000,9,1,0.07,All Ages,1,-0.004040064
