"Peel","Year","metric","value"
3,2002,"SSB",12123
3,2003,"SSB",11065.19
3,2004,"SSB",6963.129
3,2005,"SSB",4755.058
3,2006,"SSB",3829.838
3,2007,"SSB",4668.404
3,2008,"SSB",5941.389
3,2009,"SSB",6415.011
3,2010,"SSB",6191.009
3,2011,"SSB",6489.107
3,2012,"SSB",6594.616
3,2013,"SSB",6635.255
3,2014,"SSB",7810.536
3,2015,"SSB",8517.837
3,1973,"F",0.8756785
3,1974,"F",1.223458
3,1975,"F",1.77676
3,1976,"F",1.582293
3,1977,"F",1.47783
3,1978,"F",1.372954
3,1979,"F",0.8087569
3,1980,"F",0.6182426
3,1981,"F",0.5580348
3,1982,"F",0.9252775
3,1983,"F",1.215107
3,1984,"F",1.837734
3,1985,"F",1.222431
3,1986,"F",0.9888814
3,1987,"F",1.197336
3,1988,"F",0.9079477
3,1989,"F",0.3478253
3,1990,"F",0.8681081
3,1991,"F",0.6727162
3,1992,"F",1.10317
3,1993,"F",0.8331886
3,1994,"F",0.9149302
3,1995,"F",0.3711909
3,1996,"F",0.3320605
3,1997,"F",0.393321
3,1998,"F",0.5834688
3,1999,"F",0.5451716
3,2000,"F",0.7580025
3,2001,"F",0.8752626
3,2002,"F",0.7005882
3,2003,"F",0.8876561
3,2004,"F",1.437922
3,2005,"F",1.227124
3,2006,"F",0.836424
3,2007,"F",0.5823435
3,2008,"F",0.4935606
3,2009,"F",0.469456
3,2010,"F",0.2959002
3,2011,"F",0.2808234
3,2012,"F",0.1604111
3,2013,"F",0.04466118
3,2014,"F",0.02816473
3,2015,"F",0.01900122
4,1973,"SSB",20107.78
4,1974,"SSB",13475.58
4,1975,"SSB",9067.358
4,1976,"SSB",9637.317
4,1977,"SSB",7556.519
4,1978,"SSB",4590.884
4,1979,"SSB",8522.278
4,1980,"SSB",13082.94
4,1981,"SSB",13156.16
4,1982,"SSB",13717.25
4,1983,"SSB",10233.4
4,1984,"SSB",3445.314
4,1985,"SSB",2581.007
4,1986,"SSB",3495.02
4,1987,"SSB",3248.37
4,1988,"SSB",3078.305
4,1989,"SSB",5186.339
4,1990,"SSB",4921.637
4,1991,"SSB",3691.753
4,1992,"SSB",4698.666
